time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-26T01:40:29.390Z,19.3943329,-155.2720032,1.21,2.89,md,19,55,0.001859,0.15,hv,hv70321261,2018-06-26T01:43:21.790Z,"5km SW of Volcano, Hawaii",earthquake,0.21,0.2,1.12,4,automatic,hv,hv
2018-06-26T01:38:00.170Z,19.4196663,-155.2573395,1.63,2.49,ml,16,127,0.004774,0.25,hv,hv70321246,2018-06-26T01:43:41.810Z,"2km WSW of Volcano, Hawaii",earthquake,0.42,0.47,0.39,10,automatic,hv,hv
2018-06-26T01:37:05.700Z,19.441,-155.2386627,-0.17,2.55,ml,7,276,0.02759,0.26,hv,hv70321241,2018-06-26T01:42:48.500Z,"1km N of Volcano, Hawaii",earthquake,2.02,1.71,0.39,10,automatic,hv,hv
2018-06-26T01:34:37.130Z,19.4134998,-155.2863312,0.27,2.48,ml,27,39,0.004646,0.17,hv,hv70321231,2018-06-26T01:40:19.970Z,"5km WSW of Volcano, Hawaii",earthquake,0.2,0.14,0.35,15,automatic,hv,hv
2018-06-26T01:30:10.870Z,19.4106674,-155.279007,0.56,2.49,ml,30,31,0.008455,0.21,hv,hv70321206,2018-06-26T01:35:49.530Z,"4km WSW of Volcano, Hawaii",earthquake,0.24,0.14,0.31,20,automatic,hv,hv
2018-06-26T01:24:22.800Z,19.4016666,-155.2656708,0.15,2.63,ml,16,92,0.003424,0.09,hv,hv70321196,2018-06-26T01:30:48.240Z,"4km SW of Volcano, Hawaii",earthquake,0.19,0.21,0.49,19,automatic,hv,hv
2018-06-26T01:19:57.730Z,19.4293327,-155.2801666,0.88,2.79,ml,15,60,0.005162,0.17,hv,hv70321176,2018-06-26T01:25:53.160Z,"4km W of Volcano, Hawaii",earthquake,0.46,0.26,0.23,11,automatic,hv,hv
2018-06-26T01:12:34.110Z,19.3941669,-155.2696686,0.08,3.17,ml,38,50,0.003937,0.21,hv,hv70321156,2018-06-26T01:18:26.520Z,"5km SW of Volcano, Hawaii",earthquake,0.2,0.15,1.87,28,automatic,hv,hv
2018-06-26T01:11:44.550Z,19.3980007,-155.260498,0.13,2.77,ml,33,55,0.005229,0.22,hv,hv70321151,2018-06-26T01:17:29.190Z,"4km SSW of Volcano, Hawaii",earthquake,0.25,0.22,2.15,21,automatic,hv,hv
2018-06-26T01:10:51.050Z,19.4104996,-155.2821655,0.64,2.55,ml,31,28,0.007354,0.27,hv,hv70321146,2018-06-26T01:16:37.540Z,"5km WSW of Volcano, Hawaii",earthquake,0.24,0.19,0.4,16,automatic,hv,hv
2018-06-26T01:09:14.200Z,19.4111671,-155.2788391,0.02,2.56,ml,35,32,0.008147,0.24,hv,hv70321141,2018-06-26T01:15:00.790Z,"4km WSW of Volcano, Hawaii",earthquake,0.17,0.17,1.49,20,automatic,hv,hv
2018-06-26T01:05:29.850Z,19.4373341,-155.2899933,0.07,2.99,ml,32,75,0.01631,0.35,hv,hv70321126,2018-06-26T01:11:13.040Z,"5km W of Volcano, Hawaii",earthquake,0.4,0.38,2.92,31,automatic,hv,hv
2018-06-26T01:04:23.620Z,19.4055004,-155.2623291,1.03,2.56,ml,12,87,0.006949,0.11,hv,hv70321116,2018-06-26T01:10:11.700Z,"3km SW of Volcano, Hawaii",earthquake,0.35,0.36,0.35,11,automatic,hv,hv
2018-06-26T01:04:13.300Z,19.1638336,-155.0348358,12.87,3.54,ml,27,270,0.1506,0.39,hv,hv70321121,2018-06-26T01:23:45.592Z,"35km SSW of Leilani Estates, Hawaii",earthquake,1.86,0.79,0.51,9,automatic,hv,hv
2018-06-26T01:01:59.330Z,19.4174995,-155.2936707,0.36,2.53,ml,18,93,0.004188,0.25,hv,hv70321111,2018-06-26T01:08:26.450Z,"6km WSW of Volcano, Hawaii",earthquake,0.52,0.24,0.23,4,automatic,hv,hv
2018-06-26T01:00:02.220Z,19.4223328,-155.2773285,0.42,2.68,ml,20,61,0.002426,0.26,hv,hv70321106,2018-06-26T01:06:13.270Z,"4km WSW of Volcano, Hawaii",earthquake,0.26,0.17,0.39,15,automatic,hv,hv
2018-06-26T00:59:21.000Z,19.4291668,-155.2856598,0.22,2.85,ml,16,55,0.008794,0.22,hv,hv70321101,2018-06-26T01:05:21.710Z,"5km W of Volcano, Hawaii",earthquake,0.36,0.26,0.4,12,automatic,hv,hv
2018-06-26T00:59:07.810Z,19.3946667,-155.2798309,1.4,2.47,ml,11,131,0.005883,0.09,hv,hv70321096,2018-06-26T01:05:06.630Z,"5km SW of Volcano, Hawaii",earthquake,0.65,0.46,0.47,14,automatic,hv,hv
2018-06-26T00:55:45.790Z,19.3821659,-155.3011627,0.27,2.52,ml,15,73,0.01032,0.25,hv,hv70321076,2018-06-26T01:01:35.390Z,"8km SW of Volcano, Hawaii",earthquake,0.29,0.35,0.5,14,automatic,hv,hv
2018-06-26T00:52:27.820Z,19.4200001,-155.287674,-0.04,2.53,ml,25,37,0.000237,0.31,hv,hv70321071,2018-06-26T00:58:15.730Z,"5km WSW of Volcano, Hawaii",earthquake,0.29,0.18,0.49,8,automatic,hv,hv
2018-06-26T00:51:16.780Z,19.4109993,-155.2766724,0.64,2.51,ml,24,44,0.009645,0.2,hv,hv70321066,2018-06-26T00:57:01.510Z,"4km WSW of Volcano, Hawaii",earthquake,0.19,0.19,0.26,15,automatic,hv,hv
2018-06-26T00:47:30.020Z,19.4053326,-155.2623291,-1.04,2.66,ml,31,46,0.007107,0.35,hv,hv70321061,2018-06-26T00:53:11.770Z,"3km SW of Volcano, Hawaii",earthquake,0.24,0.29,0.47,19,automatic,hv,hv
2018-06-26T00:41:58.750Z,19.3986664,-155.2641602,0.42,2.68,ml,32,55,0.001817,0.23,hv,hv70321046,2018-06-26T00:47:39.990Z,"4km SW of Volcano, Hawaii",earthquake,0.24,0.26,2.66,26,automatic,hv,hv
2018-06-26T00:41:32.450Z,19.4174995,-155.2856598,0.19,2.72,ml,19,77,0.001484,0.16,hv,hv70321041,2018-06-26T00:47:16.220Z,"5km WSW of Volcano, Hawaii",earthquake,0.23,0.13,2,24,automatic,hv,hv
2018-06-26T00:38:00.150Z,19.4106674,-155.2579956,1.03,2.52,ml,25,97,0.002269,0.2,hv,hv70321031,2018-06-26T00:43:40.360Z,"3km SW of Volcano, Hawaii",earthquake,0.29,0.19,0.35,13,automatic,hv,hv
2018-06-26T00:35:49.420Z,19.3974991,-155.2664948,0.02,2.77,ml,16,66,0.0008585,0.25,hv,hv70321026,2018-06-26T00:41:31.950Z,"4km SW of Volcano, Hawaii",earthquake,0.25,0.27,0.35,11,automatic,hv,hv
2018-06-26T00:34:45.860Z,19.4025002,-155.2786713,1.48,2.59,ml,11,191,0.01593,0.19,hv,hv70321021,2018-06-26T00:40:28.920Z,"5km SW of Volcano, Hawaii",earthquake,0.83,0.31,0.31,10,automatic,hv,hv
2018-06-26T00:31:27.860Z,19.4178333,-155.2786667,0.73,3.63,ml,18,57,0.005128,0.08,hv,hv70321016,2018-06-26T01:24:21.857Z,"4km W of Volcano, Hawaii",earthquake,0.2,0.15,0.111,9,reviewed,hv,hv
2018-06-26T00:30:01.110Z,19.4228325,-155.277832,0.37,3.51,ml,27,40,0.001932,0.22,hv,hv70321011,2018-06-26T00:48:53.397Z,"4km WSW of Volcano, Hawaii",earthquake,0.24,0.17,0.32,12,automatic,hv,hv
2018-06-26T00:28:17.430Z,19.3993333,-155.2753333,0.26,3.32,ml,25,44,0.004255,0.1,hv,hv70321006,2018-06-26T01:11:27.240Z,"5km SW of Volcano, Hawaii",earthquake,0.11,0.13,0.242,20,reviewed,hv,hv
2018-06-26T00:25:03.340Z,19.3926659,-155.2636719,0.2,3.2,ml,31,44,0.005978,0.26,hv,hv70320991,2018-06-26T00:30:49.710Z,"5km SSW of Volcano, Hawaii",earthquake,0.24,0.26,0.41,14,automatic,hv,hv
2018-06-26T00:23:49.000Z,19.3876667,-155.277832,0.71,3.25,ml,17,101,0.008621,0.19,hv,hv70320986,2018-06-26T01:02:10.856Z,"6km SW of Volcano, Hawaii",earthquake,0.29,0.33,0.61,14,automatic,hv,hv
2018-06-26T00:23:06.870Z,19.4004993,-155.2658386,1.37,3.01,ml,32,36,0.002253,0.21,hv,hv70320981,2018-06-26T00:29:01.530Z,"4km SW of Volcano, Hawaii",earthquake,0.23,0.15,0.56,18,automatic,hv,hv
2018-06-26T00:22:39.320Z,19.4220009,-155.2745056,0.73,2.66,ml,15,70,0.003995,0.22,hv,hv70320976,2018-06-26T00:28:31.260Z,"3km WSW of Volcano, Hawaii",earthquake,0.46,0.21,0.41,18,automatic,hv,hv
2018-06-26T00:19:58.420Z,19.3976669,-155.2584991,-0.04,3.03,ml,27,45,0.007134,0.2,hv,hv70320971,2018-06-26T00:26:03.660Z,"4km SSW of Volcano, Hawaii",earthquake,0.19,0.2,2.41,17,automatic,hv,hv
2018-06-26T00:17:04.920Z,19.4249992,-155.2621613,0.9,3.03,ml,13,78,0.002267,0.19,hv,hv70320966,2018-06-26T00:22:59.480Z,"2km WSW of Volcano, Hawaii",earthquake,0.42,0.22,0.24,5,automatic,hv,hv
2018-06-26T00:14:22.060Z,19.4158333,-155.2765,0.84,3.55,ml,22,47,0.007397,0.08,hv,hv70320961,2018-06-26T01:11:59.572Z,"4km WSW of Volcano, Hawaii",earthquake,0.17,0.15,0.222,12,reviewed,hv,hv
2018-06-26T00:13:15.990Z,19.4056664,-155.2896729,0.54,2.58,ml,26,57,0.009799,0.38,hv,hv70320951,2018-06-26T00:19:00.350Z,"6km WSW of Volcano, Hawaii",earthquake,0.35,0.31,0.51,16,automatic,hv,hv
2018-06-26T00:09:22.420Z,19.3983326,-155.2819977,1.72,2.54,ml,32,37,0.00842,0.24,hv,hv70320941,2018-06-26T00:20:50.020Z,"5km SW of Volcano, Hawaii",earthquake,0.27,0.25,0.39,19,automatic,hv,hv
2018-06-26T00:05:32.330Z,19.4125004,-155.2768402,1.03,2.78,ml,43,38,0.00856,0.16,hv,hv70320936,2018-06-26T00:19:35.215Z,"4km WSW of Volcano, Hawaii",earthquake,0.22,0.18,2.46,30,automatic,hv,hv
2018-06-26T00:02:16.460Z,22.2092,95.0342,21.81,4.6,mb,,122,1.395,0.46,us,us1000f1rs,2018-06-26T00:59:47.070Z,"14km NW of Monywa, Burma",earthquake,7.1,5.9,0.117,22,reviewed,us,us
2018-06-26T00:01:37.740Z,19.4278336,-155.2734985,0.92,2.94,ml,26,57,0.004919,0.24,hv,hv70320931,2018-06-26T00:37:09.471Z,"3km W of Volcano, Hawaii",earthquake,0.22,0.15,2.95,30,automatic,hv,hv
2018-06-26T00:01:21.400Z,19.3988342,-155.2774963,0.54,2.87,ml,30,40,0.005012,0.19,hv,hv70320926,2018-06-26T00:38:48.998Z,"5km SW of Volcano, Hawaii",earthquake,0.2,0.23,2.93,31,automatic,hv,hv
2018-06-25T23:58:02.640Z,19.3929996,-155.2693329,-0.08,2.58,ml,25,61,0.004701,0.22,hv,hv70320921,2018-06-26T00:04:02.060Z,"5km SW of Volcano, Hawaii",earthquake,0.18,0.25,0.45,18,automatic,hv,hv
2018-06-25T23:54:50.530Z,19.4248333,-155.2799988,1.55,2.68,ml,15,116,0.008115,0.19,hv,hv70320916,2018-06-26T00:00:48.860Z,"4km W of Volcano, Hawaii",earthquake,0.33,0.37,0.21,9,automatic,hv,hv
2018-06-25T23:54:21.700Z,19.1938324,-155.4638367,35,3.06,ml,41,104,0.03825,0.2,hv,hv70320911,2018-06-26T00:05:21.040Z,"2km SE of Pahala, Hawaii",earthquake,0.58,1.11,3.64,20,automatic,hv,hv
2018-06-25T23:53:12.300Z,19.4296665,-155.2884979,0.44,2.78,ml,14,119,0.009007,0.22,hv,hv70320906,2018-06-26T00:37:25.363Z,"5km W of Volcano, Hawaii",earthquake,1.1,0.45,0.36,4,automatic,hv,hv
2018-06-25T23:50:51.750Z,19.4003334,-155.2716675,0.39,2.98,ml,47,34,0.00528,0.34,hv,hv70320901,2018-06-26T00:36:54.561Z,"4km SW of Volcano, Hawaii",earthquake,0.28,0.24,2.89,31,automatic,hv,hv
2018-06-25T23:49:00.160Z,19.3991661,-155.2636719,0.2,2.8,ml,28,42,0.00241,0.31,hv,hv70320891,2018-06-26T00:02:02.522Z,"4km SW of Volcano, Hawaii",earthquake,0.31,0.27,0.48,16,automatic,hv,hv
2018-06-25T23:47:04.000Z,19.4214993,-155.2704926,1.67,3,ml,23,55,0.006151,0.32,hv,hv70320886,2018-06-26T00:38:34.279Z,"3km WSW of Volcano, Hawaii",earthquake,0.45,0.25,0.37,12,automatic,hv,hv
2018-06-25T23:45:08.080Z,19.3953342,-155.2801666,1.85,2.83,ml,36,44,0.006158,0.27,hv,hv70320876,2018-06-26T00:03:08.232Z,"5km SW of Volcano, Hawaii",earthquake,0.27,0.26,2.88,31,automatic,hv,hv
2018-06-25T23:44:49.700Z,19.4305,-155.2695007,1.16,2.87,ml,10,142,0.003812,0.12,hv,hv70320871,2018-06-26T00:02:53.183Z,"3km W of Volcano, Hawaii",earthquake,0.34,0.37,2.48,29,automatic,hv,hv
2018-06-25T23:42:50.370Z,19.3991661,-155.2681732,0.88,2.59,ml,24,61,0.00222,0.22,hv,hv70320866,2018-06-25T23:48:37.130Z,"4km SW of Volcano, Hawaii",earthquake,0.25,0.24,0.34,14,automatic,hv,hv
2018-06-25T23:39:47.350Z,19.3986664,-155.2641602,0.21,2.64,ml,27,86,0.001817,0.24,hv,hv70320856,2018-06-26T00:00:25.489Z,"4km SW of Volcano, Hawaii",earthquake,0.23,0.26,0.43,14,automatic,hv,hv
2018-06-25T23:37:38.370Z,19.4104996,-155.2291718,1.57,2.53,ml,21,139,0.02902,0.33,hv,hv70320846,2018-06-26T00:18:52.970Z,"2km SSE of Volcano, Hawaii",earthquake,0.55,0.91,0.31,10,automatic,hv,hv
2018-06-25T23:34:57.720Z,19.4073334,-155.2973328,0.92,2.51,ml,25,54,0.002619,0.3,hv,hv70320836,2018-06-25T23:40:46.710Z,"6km WSW of Volcano, Hawaii",earthquake,0.35,0.2,0.36,16,automatic,hv,hv
2018-06-25T23:31:54.440Z,19.3971672,-155.2723389,-0.48,2.91,ml,25,43,0.002172,0.31,hv,hv70320831,2018-06-25T23:44:19.346Z,"5km SW of Volcano, Hawaii",earthquake,0.23,0.29,0.45,15,automatic,hv,hv
2018-06-25T23:28:38.860Z,19.4151669,-155.2763367,0.26,3,ml,32,36,0.007733,0.31,hv,hv70320826,2018-06-26T00:38:18.978Z,"4km WSW of Volcano, Hawaii",earthquake,0.2,0.13,3.25,31,automatic,hv,hv
2018-06-25T23:26:54.020Z,19.4080009,-155.2761688,1.04,2.66,ml,40,32,0.01218,0.36,hv,hv70320821,2018-06-26T00:38:03.239Z,"4km WSW of Volcano, Hawaii",earthquake,0.36,0.2,2.57,27,automatic,hv,hv
2018-06-25T23:24:00.480Z,19.4116669,-155.2769928,0.47,2.68,ml,34,38,0.008974,0.17,hv,hv70320816,2018-06-25T23:38:27.730Z,"4km WSW of Volcano, Hawaii",earthquake,0.23,0.14,2.01,23,automatic,hv,hv
2018-06-25T23:10:53.090Z,19.4146671,-155.2756653,1.3,2.88,ml,14,86,0.008497,0.15,hv,hv70320781,2018-06-25T23:16:42.030Z,"4km WSW of Volcano, Hawaii",earthquake,0.51,0.25,0.26,5,automatic,hv,hv
2018-06-25T23:10:31.340Z,19.3910007,-155.2696686,-0.05,2.79,ml,26,49,0.00574,0.39,hv,hv70320776,2018-06-25T23:16:21.390Z,"5km SW of Volcano, Hawaii",earthquake,0.31,0.35,0.51,19,automatic,hv,hv
2018-06-25T23:08:06.920Z,19.4088326,-155.2769928,0.51,3.04,ml,32,31,0.01105,0.21,hv,hv70320766,2018-06-25T23:37:26.081Z,"4km WSW of Volcano, Hawaii",earthquake,0.22,0.13,2.52,28,automatic,hv,hv
2018-06-25T23:05:34.510Z,19.4063339,-155.2606659,0.38,2.56,ml,24,88,0.005771,0.2,hv,hv70320746,2018-06-25T23:11:21.520Z,"3km SW of Volcano, Hawaii",earthquake,0.18,0.18,0.42,11,automatic,hv,hv
2018-06-25T23:02:35.590Z,19.3966675,-155.2686615,0.88,3.13,ml,22,42,0.002935,0.26,hv,hv70320741,2018-06-26T00:36:07.927Z,"4km SW of Volcano, Hawaii",earthquake,0.3,0.39,0.55,18,automatic,hv,hv
2018-06-25T23:01:04.690Z,19.2110004,-155.4519958,29.01,2.86,ml,49,114,0.05612,0.31,hv,hv70320736,2018-06-25T23:39:21.721Z,"3km ENE of Pahala, Hawaii",earthquake,0.77,1.28,3.24,35,automatic,hv,hv
2018-06-25T22:58:04.250Z,19.4266663,-155.2828369,0.78,3.16,ml,15,138,0.00531,0.2,hv,hv70320726,2018-06-25T23:03:51.670Z,"4km W of Volcano, Hawaii",earthquake,0.41,0.31,1.58,12,automatic,hv,hv
2018-06-25T22:57:02.650Z,19.4178333,-155.2701721,0.59,2.98,ml,39,39,0.009492,0.3,hv,hv70320721,2018-06-25T23:16:19.223Z,"3km WSW of Volcano, Hawaii",earthquake,0.34,0.17,2.88,33,automatic,hv,hv
2018-06-25T22:55:20.310Z,19.4066658,-155.284668,1.81,2.51,md,12,128,0.01095,0.22,hv,hv70320716,2018-06-25T22:58:34.810Z,"5km WSW of Volcano, Hawaii",earthquake,0.86,0.28,0.38,4,automatic,hv,hv
2018-06-25T22:55:15.270Z,19.4043331,-155.2575073,0.66,2.57,ml,17,94,0.008031,0.16,hv,hv70320711,2018-06-25T23:36:44.128Z,"3km SW of Volcano, Hawaii",earthquake,0.27,0.2,0.51,15,automatic,hv,hv
2018-06-25T22:53:53.772Z,60.2544,-152.6126,105.4,3.1,ml,,,,0.6,ak,ak19801683,2018-06-26T00:40:55.040Z,"26km SSE of Redoubt Volcano, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-06-25T22:50:11.850Z,19.4203339,-155.2746735,1.16,2.9,ml,36,40,0.005189,0.19,hv,hv70320701,2018-06-25T22:55:57.980Z,"4km WSW of Volcano, Hawaii",earthquake,0.26,0.16,2.48,16,automatic,hv,hv
2018-06-25T22:47:25.145Z,68.0419,-151.5152,0,2.5,ml,,,,0.58,ak,ak19801670,2018-06-25T23:04:43.891Z,"14km SE of Anaktuvuk Pass, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-06-25T22:46:54.750Z,19.4165,-155.2773333,0.81,3.15,ml,26,52,0.006488,0.08,hv,hv70320696,2018-06-26T00:35:36.879Z,"4km WSW of Volcano, Hawaii",earthquake,0.14,0.1,0.208,25,reviewed,hv,hv
2018-06-25T22:43:19.160Z,19.427166,-155.2593384,0.49,2.94,ml,11,143,0.004377,0.34,hv,hv70320681,2018-06-25T22:49:04.520Z,"2km W of Volcano, Hawaii",earthquake,0.87,0.4,0.41,4,automatic,hv,hv
2018-06-25T22:40:29.290Z,19.4196663,-155.2638397,0.79,2.67,ml,18,56,0.02267,0.35,hv,hv70320676,2018-06-25T23:28:08.336Z,"3km WSW of Volcano, Hawaii",earthquake,0.7,1.29,3.36,21,automatic,hv,hv
2018-06-25T22:40:27.250Z,19.4158325,-155.2746735,0.42,2.86,ml,39,44,0.009078,0.25,hv,hv70320671,2018-06-25T22:46:13.610Z,"4km WSW of Volcano, Hawaii",earthquake,0.26,0.16,2.85,32,automatic,hv,hv
2018-06-25T22:29:31.250Z,19.4011669,-155.2631683,0.59,2.83,ml,31,56,0.003971,0.21,hv,hv70320646,2018-06-25T22:35:18.810Z,"4km SW of Volcano, Hawaii",earthquake,0.18,0.2,2.22,20,automatic,hv,hv
2018-06-25T22:28:14.330Z,19.434166,-155.2723389,1.11,2.64,ml,7,153,0.008309,0.09,hv,hv70320636,2018-06-25T22:33:59.920Z,"3km W of Volcano, Hawaii",earthquake,0.75,0.46,2.58,11,automatic,hv,hv
2018-06-25T22:26:50.070Z,19.4286671,-155.2725067,1.08,2.86,ml,8,155,0.03144,0.11,hv,hv70320631,2018-06-25T22:32:46.930Z,"3km W of Volcano, Hawaii",earthquake,0.68,1.05,0.35,13,automatic,hv,hv
2018-06-25T22:25:54.312Z,68.0265,-151.5382,13.1,3.9,ml,,,,0.44,ak,ak19801628,2018-06-25T23:55:44.040Z,"15km SSE of Anaktuvuk Pass, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2018-06-25T22:25:31.890Z,19.4048328,-155.2558289,0.5,2.97,ml,23,62,0.008165,0.21,hv,hv70320626,2018-06-25T23:16:02.561Z,"3km SSW of Volcano, Hawaii",earthquake,0.26,0.3,2.99,29,automatic,hv,hv
2018-06-25T22:23:58.330Z,19.4178333,-155.2754974,0.92,2.86,ml,46,32,0.007166,0.24,hv,hv70320621,2018-06-25T22:29:42.910Z,"4km WSW of Volcano, Hawaii",earthquake,0.28,0.2,3.22,32,automatic,hv,hv
2018-06-25T22:19:30.650Z,19.4155006,-155.2523346,-1.04,2.49,ml,8,262,0.02149,0.35,hv,hv70320596,2018-06-25T23:52:41.961Z,"2km SW of Volcano, Hawaii",earthquake,0.87,1.17,0.36,13,automatic,hv,hv
2018-06-25T22:16:41.100Z,19.4008331,-155.2498322,0.54,2.71,ml,27,57,0.01531,0.36,hv,hv70320586,2018-06-25T23:55:00.593Z,"3km SSW of Volcano, Hawaii",earthquake,0.32,0.35,2.2,15,automatic,hv,hv
2018-06-25T22:11:24.980Z,19.4173336,-155.2774963,-0.16,3.1,ml,31,46,0.006238,0.37,hv,hv70320566,2018-06-25T23:09:52.413Z,"4km WSW of Volcano, Hawaii",earthquake,0.2,0.2,3.04,28,automatic,hv,hv
2018-06-25T22:09:40.690Z,19.4221668,-155.2733307,0.53,2.91,ml,25,48,0.00477,0.14,hv,hv70320561,2018-06-25T23:55:53.857Z,"3km WSW of Volcano, Hawaii",earthquake,0.17,0.11,2.52,29,automatic,hv,hv
2018-06-25T22:08:20.180Z,19.4169998,-155.2855072,0.27,2.62,ml,37,36,0.001485,0.32,hv,hv70320556,2018-06-25T23:52:26.205Z,"5km WSW of Volcano, Hawaii",earthquake,0.25,0.15,2.7,24,automatic,hv,hv
2018-06-25T22:07:16.500Z,19.3981667,-155.2693329,1.19,2.61,ml,29,51,0.003117,0.15,hv,hv70320546,2018-06-25T23:58:06.331Z,"4km SW of Volcano, Hawaii",earthquake,0.22,0.26,0.39,14,automatic,hv,hv
2018-06-25T22:07:14.690Z,19.3378334,-155.135498,3.74,2.96,ml,8,238,0.08357,0.08,hv,hv70320551,2018-06-25T22:13:08.500Z,"14km SE of Volcano, Hawaii",earthquake,2.47,12.88,0.37,14,automatic,hv,hv
2018-06-25T22:02:19.940Z,19.5109997,-155.3018341,13.53,2.58,ml,13,310,0.05641,0.32,hv,hv70320531,2018-06-25T22:08:05.290Z,"11km NW of Volcano, Hawaii",earthquake,2.43,2.48,0.36,13,automatic,hv,hv
2018-06-25T21:55:25.590Z,19.395834,-155.2709961,0.73,3.49,ml,56,37,0.002541,0.2,hv,hv70320521,2018-06-25T23:04:34.723Z,"5km SW of Volcano, Hawaii",earthquake,0.23,0.13,3.34,36,automatic,hv,hv
2018-06-25T21:53:24.390Z,19.3974991,-155.2706604,0.12,2.68,ml,23,57,0.003524,0.21,hv,hv70320511,2018-06-25T21:59:10.790Z,"5km SW of Volcano, Hawaii",earthquake,0.19,0.22,0.45,15,automatic,hv,hv
2018-06-25T21:53:00.250Z,19.421833,-155.3085022,4.81,2.5,ml,8,238,0.01956,0.13,hv,hv70320506,2018-06-25T21:58:55.270Z,"7km W of Volcano, Hawaii",earthquake,1.58,2.25,0.49,16,automatic,hv,hv
2018-06-25T21:48:30.300Z,19.4171658,-155.2913361,1.05,2.62,ml,16,54,0.00379,0.29,hv,hv70320491,2018-06-25T21:54:16.840Z,"5km WSW of Volcano, Hawaii",earthquake,0.58,0.25,0.39,14,automatic,hv,hv
2018-06-25T21:46:19.750Z,19.4076672,-155.2536621,0.02,2.94,ml,21,64,0.007331,0.31,hv,hv70320486,2018-06-25T21:52:05.640Z,"3km SSW of Volcano, Hawaii",earthquake,0.31,0.46,0.54,8,automatic,hv,hv
